caseid,processname,processversion,archiveddate,status
52463,Project_Creation,1.6.0.3,21/03/2018_09:20:51;,delete
52477,Project_Creation,1.6.0.3,21/03/2018_09:20:57;,delete
52491,Project_Creation,1.6.0.3,21/03/2018_09:21:05;,delete
52492,Project_Creation,1.6.0.3,21/03/2018_09:28:05;,delete
52493,Project_Creation,1.6.0.3,21/03/2018_09:28:19;,delete
52507,Project_Creation,1.6.0.3,21/03/2018_09:28:24;,delete
52521,Project_Creation,1.6.0.3,21/03/2018_09:30:47;,delete
53001,Project_Creation,1.6.0.3,21/03/2018_10:01:31;,delete
53016,Project_Creation,1.6.0.3,21/03/2018_10:07:20;,delete
54001,Project_Creation,1.6.0.3,21/03/2018_10:21:33;,delete
54003,Project_Creation,1.6.0.3,21/03/2018_10:21:41;,delete
48640,Project_Creation,1.6.0.3,21/03/2018_10:27:24;,delete
48650,Project_Creation,1.6.0.3,21/03/2018_10:27:33;,delete
51004,Project_Creation,1.6.0.3,21/03/2018_10:27:41;,delete
51013,Project_Creation,1.6.0.3,21/03/2018_10:27:41;,delete
51020,Project_Creation,1.6.0.3,21/03/2018_10:27:41;,delete
51047,Project_Creation,1.6.0.3,21/03/2018_10:27:43;,delete
48422,CCoreDeviceSubscriber,7.1,21/03/2018_10:30:36;,delete
48611,CCoreDeviceSubscriber,7.1,21/03/2018_10:31:13;,delete
48608,CCoreDeviceSubscriber,7.1,21/03/2018_10:31:15;,delete
48609,CCoreDeviceSubscriber,7.1,21/03/2018_10:31:15;,delete
48617,CCoreDeviceSubscriber,7.1,21/03/2018_10:31:16;,delete
51039,CCoreDeviceSubscriber,7.1,21/03/2018_10:31:24;,delete
48624,CCoreDeviceSubscriber,7.1,21/03/2018_10:31:27;,delete
48632,CCoreDeviceSubscriber,7.1,21/03/2018_10:31:27;,delete
48625,CCoreDeviceSubscriber,7.1,21/03/2018_10:31:29;,delete
55320,Project_Creation,1.6.0.3,21/03/2018_10:31:29;,delete
55353,Project_Creation,1.6.0.3,21/03/2018_10:31:34;,delete
55332,CCoreDeviceSubscriber,7.1,21/03/2018_10:31:55;,delete
55325,CCoreDeviceSubscriber,7.1,21/03/2018_10:31:55;,delete
